"代號","名稱","成交","最高","最低","漲跌價","漲跌幅","更新日期","3個月最高股價(元)","現距3個月高點跌幅","3個月最低股價(元)","現距3個月低點漲幅","半年最高股價(元)","現距半年高點跌幅","半年最低股價(元)","現距半年低點漲幅","1年最高股價(元)","現距1年高點跌幅","1年最低股價(元)","現距1年低點漲幅"
="0050","元大台灣50","156.15","157.35","156","-2.1","-1.33","05/02","163.35","-4.41","134.65","+16","163.35","-4.41","124.7","+25.2","163.35","-4.41","116.65","+33.9"
="0051","元大中型100","79","79.1","78.7","-0.25","-0.32","05/02","80","-1.25","73.9","+6.9","80","-1.25","68.4","+15.5","80","-1.25","56.85","+39"
="0052","富邦科技","151.1","151.8","150.7","-2.8","-1.82","05/02","166.1","-9.03","133.6","+13.1","166.1","-9.03","116.45","+29.8","166.1","-9.03","99.55","+51.8"
="0053","元大電子","84.15","84.65","84.15","-2","-2.32","05/02","88.75","-5.18","73.3","+14.8","88.75","-5.18","67.05","+25.5","88.75","-5.18","57.95","+45.2"
="0055","元大MSCI金融","25.63","25.73","25.56","+0.03","+0.12","05/02","25.79","-0.62","23.36","+9.72","25.79","-0.62","23.04","+11.2","25.79","-0.62","22.33","+14.8"
="0056","元大高股息","38.35","38.4","37.94","+0.03","+0.08","05/02","40.35","-4.96","36.23","+5.85","40.35","-4.96","33.63","+14","40.35","-4.96","28.19","+36"
="0057","富邦摩台","115.4","115.95","115.4","-2.45","-2.08","05/02","120.2","-3.99","101.25","+14","120.2","-3.99","91.75","+25.8","120.2","-3.99","84.65","+36.3"
="0061","元大寶滬深","17.75","17.77","17.54","+0.15","+0.85","05/02","17.77","-0.11","15.01","+18.3","17.77","-0.11","15.01","+18.3","19.47","-8.83","15.01","+18.3"
="006203","元大MSCI台灣","74.3","74.3","74.1","-1.4","-1.85","05/02","77.6","-4.25","64.9","+14.5","77.6","-4.25","60.4","+23","77.6","-4.25","56.3","+32"
="006204","永豐臺灣加權","100.5","100.65","100.5","-1.25","-1.23","05/02","103.7","-3.09","89.9","+11.8","103.7","-3.09","82.45","+21.9","103.7","-3.09","78.15","+28.6"
="006205","富邦上証","30.58","30.58","30.24","+0.23","+0.76","05/02","30.64","-0.2","25.83","+18.4","30.64","-0.2","25.83","+18.4","33.02","-7.39","25.83","+18.4"
="006206","元大上證50","29.39","29.44","29.1","+0.24","+0.82","05/02","29.48","-0.31","25.27","+16.3","29.48","-0.31","24.92","+17.9","31.25","-5.95","24.92","+17.9"
="006207","復華滬深","23.24","23.24","22.96","+0.16","+0.69","05/02","23.28","-0.17","19.43","+19.6","23.28","-0.17","19.43","+19.6","25.66","-9.43","19.43","+19.6"
="006208","富邦台50","91.5","92.2","91.3","-1.2","-1.29","05/02","95.5","-4.19","78.65","+16.3","95.5","-4.19","72.1","+26.9","95.5","-4.19","67.55","+35.5"
"00625K","富邦上証+R","6.82","6.82","6.82","0","0","05/02","6.82","0","6.07","+12.4","6.82","0","6.02","+13.3","7.42","-8.09","6.02","+13.3"
"00631L","元大台灣50正2","193.1","194.5","192","-3.25","-1.66","05/02","206.6","-6.53","153.2","+26","206.6","-6.53","128.65","+50.1","206.6","-6.53","110.75","+74.4"
"00632R","元大台灣50反1","3.91","3.92","3.89","+0.03","+0.77","05/02","4.45","-12.1","3.8","+2.89","4.88","-19.9","3.8","+2.89","5.35","-26.9","3.8","+2.89"
"00633L","富邦上証正2","36.26","36.26","35.34","+0.51","+1.43","05/02","36.43","-0.47","26.25","+38.1","36.43","-0.47","25.55","+41.9","42.6","-14.9","25.55","+41.9"
"00634R","富邦上証反1","4.5","4.54","4.5","-0.04","-0.88","05/02","5.25","-14.3","4.5","0","5.35","-15.9","4.5","0","5.35","-15.9","4.24","+6.13"
"00635U","期元大S&P黃金","27.56","27.73","27.55","-0.16","-0.58","05/02","28.89","-4.6","23.9","+15.3","28.89","-4.6","23.71","+16.2","28.89","-4.6","22.45","+22.8"
="00636","國泰中國A50","21.27","21.28","21.01","+0.14","+0.66","05/02","21.31","-0.19","17.81","+19.4","21.31","-0.19","17.66","+20.4","22.5","-5.47","17.66","+20.4"
"00636K","國泰中國A50+U","6.52","6.52","6.52","0","0","05/02","6.55","-0.46","5.75","+13.4","6.55","-0.46","5.35","+21.9","7.18","-9.19","5.35","+21.9"
"00637L","元大滬深300正2","14.54","14.54","14.17","+0.21","+1.47","05/02","14.6","-0.41","10.4","+39.8","14.6","-0.41","10.14","+43.4","16.91","-14","10.14","+43.4"
"00638R","元大滬深300反1","9.46","9.57","9.46","-0.05","-0.53","05/02","10.99","-13.9","9.43","+0.32","11.25","-15.9","9.43","+0.32","11.25","-15.9","8.94","+5.82"
="00639","富邦深100","10.99","11","10.84","+0.07","+0.64","05/02","11.05","-0.54","8.8","+24.9","11.23","-2.14","8.8","+24.9","12.85","-14.5","8.8","+24.9"
"00640L","富邦日本正2","57.1","57.25","56.7","-0.05","-0.09","05/02","60.15","-5.07","48.88","+16.8","60.15","-5.07","39.96","+42.9","60.15","-5.07","31.6","+80.7"
"00641R","富邦日本反1","6.48","6.5","6.47","0","0","05/02","7.08","-8.47","6.36","+1.89","7.86","-17.6","6.36","+1.89","9.05","-28.4","6.36","+1.89"
"00642U","期元大S&P石油","17.86","17.88","17.78","-0.64","-3.46","05/02","19.2","-6.98","15.79","+13.1","19.2","-6.98","15.02","+18.9","20.52","-13","14.27","+25.2"
="00643","群益深証中小","11.9","11.9","11.74","+0.11","+0.93","05/02","11.9","0","9.42","+26.3","12.83","-7.25","9.42","+26.3","14.86","-19.9","9.42","+26.3"
"00643K","群益深証中小+R","2.62","2.62","2.62","0","0","05/02","2.65","-1.13","2.21","+18.6","2.85","-8.07","2.21","+18.6","3.33","-21.3","2.21","+18.6"
="00645","富邦日本","37.89","37.89","37.71","+0.08","+0.21","05/02","38.78","-2.29","34.7","+9.19","38.78","-2.29","31.35","+20.9","38.78","-2.29","27.42","+38.2"
="00646","元大S&P500","51.2","51.25","51.05","-0.7","-1.35","05/02","52.55","-2.57","47.87","+6.96","52.55","-2.57","43.23","+18.4","52.55","-2.57","38.63","+32.5"
"00647L","元大S&P500正2","77.5","77.55","77.3","-2","-2.52","05/02","84.6","-8.39","73.95","+4.8","84.6","-8.39","59.05","+31.2","84.6","-8.39","54.15","+43.1"
"00648R","元大S&P500反1","5.98","5.99","5.97","+0.09","+1.53","05/02","6.11","-2.13","5.67","+5.47","6.91","-13.5","5.67","+5.47","7.22","-17.2","5.67","+5.47"
"00650L","復華香港正2","10.45","10.45","9.83","+0.52","+5.24","05/02","10.45","0","7.41","+41","11.05","-5.43","7.13","+46.6","13.97","-25.2","7.13","+46.6"
"00651R","復華香港反1","8.83","9.1","8.8","-0.21","-2.32","05/02","10.45","-15.5","8.8","+0.34","10.73","-17.7","8.8","+0.34","10.73","-17.7","8.02","+10.1"
="00652","富邦印度","37.35","37.39","37.22","-0.04","-0.11","05/02","37.54","-0.51","35.48","+5.27","37.54","-0.51","32.46","+15.1","37.54","-0.51","29.55","+26.4"
"00653L","富邦印度正2","58.75","58.75","58.25","-0.25","-0.42","05/02","59.5","-1.26","53.6","+9.61","59.5","-1.26","46.24","+27.1","59.5","-1.26","42.92","+36.9"
"00654R","富邦印度反1","6.81","6.83","6.81","+0.02","+0.29","05/02","7.1","-4.08","6.72","+1.34","7.75","-12.1","6.7","+1.64","8","-14.9","6.7","+1.64"
"00655L","國泰中國A50正2","24.79","24.79","24.13","+0.37","+1.52","05/02","24.88","-0.36","18.18","+36.4","24.88","-0.36","17.65","+40.5","29.8","-16.8","17.65","+40.5"
